,log2FC_spectral
MRPL1,0.6918777046376682
LRRC41,0.0
ERO1A,-0.5277887923339222
DYNLL1,0.7720480533216514
A0A6Q8PGL3,-1.4739311883324124
CLPX,1.0
DNPH1,-1.0588936890535685
EPHX2,1.2700891633677442
NADK2,-0.4993867690150823
E5RJX6,4.0
MIF,-0.9267510179693615
EIF6,-0.5415699052077755
ETFB,-0.6698513983076693
EPN1,-0.4150374992788438
SLC25A46,-2.584962500721156
LDHB,-0.6807214835265869
AEBP1,-3.700439718141092
SPIN3,1.0
PSMB6,-0.6837406551993297
TMX3,-3.142957953842043
H0YGG7,0.8073549220576041
MORC1,-0.4150374992788438
H2BC12L,-0.7955810124038113
TPPP,-0.8300749985576876
AAMDC,2.321928094887362
ZNF517,1.584962500721156
SLC2A1,-0.9125371587496606
Q0P5T2,1.584962500721156
POFUT1,-1.1987798641144976
SNX1,-1.4102839693082092
LLGL1,-0.7605340653046105
DIS3L2,0.12553088208385882
SLC2A14,-0.9004643264490856
TRO,3.0
GRK2,-0.253756592245783
PDK2,3.807354922057604
ACOT2,2.807354922057604
CDK1,-1.685891409571937
CBR4,-0.0995356735509144
RAB1C,-0.8353692982272006
DCTN4,-1.050626073069968
RABGAP1,-0.7914133781885827
DNAJC7,-1.6640340717123552
TOP2A,-0.3966589699639893
NCOA2,-3.1699250014423126
TXNRD2,-0.6415460290875236
SMARCAD1,2.321928094887362
RFC5,3.169925001442312
RNF214,-0.7369655941662062
SFXN2,1.584962500721156
ADNP,-0.22948184612276734
EIF1AX,-0.8073549220576042
COA1,2.807354922057604
PYGM,-1.0874628412503395
CDK16,-1.3734583955274444
ARFGEF2,0.9652345818393233
CAMK2B,-0.3987946215680791
CPLX2,1.0
PALM,-0.2995602818589078
RBM25,-0.9125371587496606
VARS1,-0.7381332955985408
G3V4R8,1.584962500721156
A0A2R8Y7C8,-1.5849625007211563
ABCE1,-0.56435222104587
PLS1,-1.5849625007211563
APPL2,-4.169925001442312
K7ERQ8,-0.9328858041414629
KIF7,-0.9135852481825267
C9IZN3,1.584962500721156
CAMLG,3.169925001442312
PDE6D,0.5235619560570128
ENO1,-0.8551082971149366
RPS26,-0.9358696625802845
MYG1,-0.9821335792064863
A0A1W2PNV4,-0.7062687969432897
CTNNBL1,-0.7004397181410921
MTHFD1,-0.44991254055730345
NKRF,0.0
TUBA3E,-0.7870319900447195
I3L4J1,-1.0324214776923775
MTOR,0.46190410431681794
ERLIN2,-0.005538183541430022
MAP1LC3A,-0.5682837595745258
COPB2,-0.5309718082007068
GTF3C1,1.0
ALG12,2.807354922057604
PEX11B,0.7884958948062882
SEZ6L,3.700439718141092
F5GY05,3.321928094887362
DOCK6,-3.700439718141092
SPINT2,-0.5849625007211563
SARM1,-0.4203317989483568
POU3F1,2.584962500721156
LRRC14,2.807354922057604
GNB1,-0.7700953034885217
PTPN11,-0.6000406859043735
RNPEP,-0.5397332467281586
SH3PXD2B,1.3923174227787602
RBM22,-0.8541491335365452
SEC31A,-0.9980776878689713
CBX5,-0.4513793463425642
POU5F1B,2.584962500721156
EBF3,2.321928094887362
TIMM8B,2.321928094887362
TMF1,-2.807354922057604
RPA3,-0.45169596985769195
KIF23,-4.857980995127572
TSPAN7,1.584962500721156
ATP5PD,-0.32057281527535136
TSR2,-3.1699250014423126
PSMF1,-0.15200309344504995
MTMR6,0.0
XRN2,0.6918777046376682
RAVER1,-2.4020984435713455
HINT2,-0.7635598041779192
DESP,2.584962500721156
HPF1,0.38702312310924725
PABPC1L2A,-0.7884958948062882
EBNA1BP2,-1.2043584985061861
RPS7,-0.691351845313133
KRT24,-0.24100809950379493
