,log2FC
AKNAD1,-0.29361644274300325
AKR1A1,-0.2961433427934086
AKR1B1,-0.412651042522727
AKR1B10,-1.3089682488965602
AKR1B10P1,0.0
AKR1B10P2,0.0
AKR1B15,0.10480670874871269
AKR1B1P1,0.03861225899426217
AKR1B1P2,0.0
AKR1B1P3,0.012958760919382405
AKR1B1P4,-0.012193687293366057
AKR1B1P5,0.0
AKR1B1P6,0.0
AKR1B1P7,-0.012388305876678277
AKR1B1P8,0.0
AKR1C1,0.18322061006743784
AKR1C2,0.27913665725253267
AKR1C3,1.9448149611424579
AKR1C4,0.06328915295370674
AKR1C5P,9.118314369452318e-05
AKR1C6P,9.118314369452318e-05
AKR1C7P,0.01317488026509617
AKR1C8,0.024928458335126663
AKR1D1,0.02363038895412524
AKR1D1P1,0.0
AKR1E2,0.15022514707013268
AKR7A2,-0.42804649845614673
AKR7A2P1,0.022684825880326397
AKR7A2P2,-0.0244237407837811
AKR7A3,-0.5024104922946052
AKR7L,0.3511629361673685
AKT1,0.4340467187102268
AKT1S1,-0.15077390698367132
AKT2,-0.3315104108216582
AKT3,-0.1762379997093353
AKT3-IT1,0.17593634413240025
AKTIP,-0.3360666185260923
AKTIPP1,-0.002830298771442752
AKTIPP2,-0.027112345530047155
AKTIPP3,0.0
ALAD,-0.21584549188097402
ALAS1,-0.4072830120116091
ALAS2,0.07207010945429364
ALB,-0.0038181740157628985
ALCAM,-3.052828225519029
ALDH16A1,0.12831890713863103
ALDH18A1,0.04196750588886733
ALDH1A1,-5.02276318700061
ALDH1A2,-0.6094793269731198
ALDH1A2-AS1,-0.0244237407837811
ALDH1A3,-0.3565392075602686
ALDH1A3-AS1,0.08653653782701112
ALDH1B1,0.8703101077962492
ALDH1L1,0.7192102247936569
ALDH1L1-AS1,-0.04933128089380368
ALDH1L1-AS2,0.13686406274102514
ALDH1L2,0.6402329543706515
ALDH2,0.6004239345101992
ALDH3A1,-0.7225432303729439
ALDH3A2,0.1868746251758111
ALDH3B1,0.005049461784865095
ALDH3B2,-1.3710180104141299
ALDH4A1,-0.6904004252084097
ALDH5A1,0.49067776022111476
ALDH6A1,0.05802706942017899
ALDH7A1,0.5448325360431596
ALDH7A1P1,-0.09431298063594595
ALDH7A1P2,0.013141263832756378
ALDH7A1P3,0.0
ALDH7A1P4,0.0
ALDH8A1,-0.13703922550955994
ALDH9A1,-0.18942633501746808
ALDOA,-0.35100782864510904
ALDOAP1,0.0003457814573946255
ALDOAP2,0.012902258403022601
ALDOB,-0.025560820389796374
ALDOC,0.3567913904701667
ALDOC-AS1,0.0
ALG1,-0.1954369529722464
ALG10,-0.2494541616610242
ALG10B,0.6060473319585644
ALG11,-0.16775549635043063
ALG12,-0.20170210208105033
ALG13,0.08998548243978544
ALG13-AS1,0.06784379579729638
ALG14,-0.39969024873748893
ALG1L10P,-0.035760891982064724
ALG1L11P,0.039336323425611996
ALG1L12P,0.08898940904170895
ALG1L13P,0.08628638734900412
ALG1L14P,-0.038686581031063
ALG1L15P,-0.037713983475218815
ALG1L1P,-0.646203279298788
ALG1L2,-0.009794218568978663
ALG1L3P,-0.011721956295198767
ALG1L5P,-0.013166284849210235
ALG1L6P,-0.13984395691140716
ALG1L7P,-0.014665910757004283
ALG1L8P,-0.17024551672279242
ALG1L9P,0.0015430525985483078
ALG2,-1.3196965943279988
